,Lyrics
fields," When money talk only broke people listen Ain't gotta pot to piss in can't afford to pay attention These unfamiliar niggas be expecting recognition Respect the intellect let me continue on the mission Use to walk through alleys paths in the field You know that one house where Kenneth use to live Now it's just another shortcut to the store The tv and my window drew the line of what was rich and poor Mommy gave me food stamps told me buy wonder bread On the way these niggas jumped left me with knot on my head Went to school yesterday but to had leave early Cause niggas said they was gone jump me at 3: 30 All because I lived in the hood who they had beef with And I ain't tell em, dog, I kept that shit a secret But I can't really trip, niggas looked out for me Nigga played me now that nigga ain't around to tell the story Just young nigga on the D.O.T With my headphones on and sack full of weed Rhymes in my head thought nobody wanted to hear em So I had the fiends hitting rocks like the Pilgrims   And where I live it's house, field, field Field field, field, house Abandoned house, field, field   That nigga much sicker That's why he pop them pills, sip lean, smoke swishers Yea I'm doing drugs thought I never ever try That had eyes so dry dog I wish I could cry I'm fucking bad foreign bitches why you niggas in the hood Smoking on some dirt weed smelling like fire wood Sitting on porches of abandoned houses Or sitting in the field on bed bug ridden couches It's like they all forgot man nobody care about us That why we all ways end up in prison instead of college Living in the system working kitchen for chump change Lost in the streets niggas playing that gun game Where nobody wins just a bunch of mommas losing Dead bodys in the field and nobody heard the shooting We living in the streets where the options is limited Cause it's burnt building instead of jobs and buisseness  "
downwardspiral,"I'm sweating like I’m in a rave Been in this room for 3 days Think I’m hearing voices Paranoid and think I’m seeing ghost-es, oh shit Phone keep ringing but I cut that shit off Only time I use it when I tell the dealer drop it off Had a threesome last night, ain’t matter what it cost Couldn’t it get hard, tried to stuff it in soft Had to fuck em both raw, keep my fingers crossed Been grinding on my teeth so long it's swelling up my jaw Nothing on but my bathrobe and pinky ring Your worst nightmare for me is a normal dream And if I learned anything Is don’t nod off with ya motherfucking cigarette burning Knocking on my door but I won’t answer Residue on mirrors, Jojo dancer  And it's a downward spiral Gotta figure it out (out) I gotta figure it out (out) I gotta figure it out Cause it's the downward spiral I gotta figure it out (out) Gotta figure it out (out) I gotta figure it out  Everybody say, you got a lot to be proud of Been high this whole time, don’t realize what I done Cause when I’m all alone, feel like no one care Isolate myself and don’t go nowhere Smoking blunt after blunt, 'til my eyes start burning Hennessy straight got my chest like a furnace Drowning frustrations in a ocean of sin Thinking irrational, I have no emotions Cold cold world, some might say Freezing on the snow, brain feel a bit frostbit Nauseous, don’t know the last time I ate But I eat these fucking rappers like fucking last steak On death row, feel like I am You never know, one day you're here, the next you're gone So I put it all up in these songs...  And it's a downward spiral Gotta figure it out (out) I gotta figure it out (out) I gotta figure it out Cause it's the downward spiral I gotta figure it out (out) Gotta figure it out (out) I gotta figure it out"
drinksonme," You got your neice to babysit ya baby Toes lookin' right cause early you got a pedi You ain't got a man but you got a baby daddy Go out ya way to get drunk at a party every Saturday But who am I to judge, baby? Want another drink? Tonight give me your brain, you ain't gotta think Just let yourself go, tomorrow blame the alcohol You ain't got a job, it ain't like you got a class tomorrow Find you a purse to borrow, beats is like your friends Start being in thoughts cause the party never ends I.D. say 22, forever 21 Best friend 30, she forever 21 Goin' down the same path, take another sip Pour another glass, take another hit I tell you that you're beautiful, your pops never did Probably why it ain't a pop around for none of yoгк kids Sorry for puttin' out ya biz But right now I can't stop lookin' at them tits And grabbin' on that ass, fillin' up the glass Get you drunk and fuck you, that's a part of my task And she really helpin', bein' a real sport about it Full cup of Goose, pinch of cran and she allowed it 20 minutes later, man, she really all about it 20 minutes later, man, she took a nigga out, kid, drinks on me   Pass the designated driver the keys And don't worry y'all, drinks on me, so have a toast with me Bring your I.D. hangin' with me It's on my tab y'all, drinks on me, so have a toast with me Hennessey and Grand Cru for me I take a sip and say free Max B, so have a drink with me So don't worry y'all, 'bout no fees I said I got it y'all, drinks on me, so have a drink with me   Say my auntie sort of like an alcoholic Been drinkin' since the teens, shittin' blood in the toilet Started real young, nigga pushed the bottle on her Drunk, fully clothed in tubs, I took showers on her But I still love her and I live life for her She ask me for a dollar, I'm gon' give it to her Stay drinkin' on the brew, keep a can in her hand Tied grocery bag full of Keystone cans Alcoholism has poisoned our city Liquor store on every corner ain't like that in other cities So you have a drink, take a hit and pass that Give a buck to a wino help him buy crack Dwell on the past, lookin' towards tomorrow Wish I could lend my pain, let you borrow my sorrow Live where lil' niggas wanna be Chris Partlow Say fuck the lotto, buck's on a bottle, drinks on me  "
fromtheground," 8 balls wit a safety pin I deserve the finer things Told myself back then When I used to ride a Schwinn Now I'm on a tour bus Going places I ain't never been Wrote my rhymes down on a paper bag That was way back Having dreams of a Cadillac Dog, I had to bounce back Locked a nigga up Why they do me like that? Now I'm on the Jack in the county Asking mommy for some money Swear to God she'd do anything for me Now we out the hood and the nightmare is us going back So I won't go to sleep 'til I finish that Cousin of death anyway Now I see better day And I ain't tryna miss a minute, second hour Living on borrowed time Can't think about tomorrow 'cause it's about today And you know you wanna take my place Let's get it   You turn around, and now I'm winning I built it up, from the ground You stay asleep, I'm gonna get it I built it up, from the ground   Now tell me, would you sacrifice your dreams? What it takes if you want anything Got me missing sleep 'cause my mind on the beat So while I'm counting bars y'all be counting sheep No cheat sheet, get it out the mud Get it how you live, why I'm out here in the field My nigga wake up, wipe the cold out your eyes It's a cold, cold world but even hotter when you die So no try to do, what about you? Work off, well met, do the same thing too A lot locked up wishing they was like you Got a letter from my nigga saying he be out in June Been down for a minute and every since sentence Things ain't been the same so I'm missing my nigga Staring at the ceiling thinking how far I came Was trapped in the storm but I made it out the rain   You turn around, and now I'm winning I built it up, from the ground You stay asleep, I'm gonna get it I built it up, from the ground"
generationrx," Lookin' at this pill in the middle of my palm Pop it, sip some cola, thirty minutes, it be on Staring at the sidekick, words come to me Rolling up the swisha, puffin' on the loosie Got a nigga focused feelin' all right With this type of feelin' I can write all night I never had a problem with payin' attention Popped the adderall then I wrote a verse in minutes Play this in your ipod, noddin' on vicodin Man, this shit legal, it must be alright then Nigga, yeah right, this shit even worse When doctor wrote prescription, your addiction was birthed Turn your kids to fiends with a drug called ritalin This is for my niggas popping xannies not rememberin' What they did last night Pills and orange tubes got the government right They say there's no stoppin' from starting oxycontins They in trailer parks sniffin' it with rolled dollars All about a dollar, baby killers in the world The ones that supply you when you gotta fuckin' cold   I can't feel When I'm off this pill No doubt I done them all Xanny bars, adderall My mind drifts Let it dissolve in what I sipped My soul blowin in the wind Eat pills and vicodin   They say I might go out like heath ledger Laughin' at the joker of an antidepressant And if you can't sleep They got a pill for that Brown good in poppin' enzyte to get my dick fat Fags take hormones to grow a set of titties Got a pill to make your dick hard when you're sixty Now tell me do that add up, g, when they lock your ass up For a dimebag of weed Teen girls take birth control killing off the seeds Got her lookin' twenty when she only fifteen They got illegal ones like x and mescaline In my teens my homie took one, he did fifteen My granny turned out on them blood pressure pills And if she don't pop em, she might not be here But is it really helpin' make a nigga shed a tear I wonder, do they make a pill to take away your fears?   I can't feel When I'm off this pill No doubt I done them all Xanny bars, adderall My mind drifts Let it dissolve in what I sipped My soul blowin in the wind Eat pills and vicodin"
stayon,"  I will throw you out the window, blaze up some indo Cut on Ron Browz; Jumpin' Out The Window The hook come for info. Ask 'em what they here for Just tell 'em he was listening to Ron Browz Bob your head. Nigga, don't fight it I could take a shit in Autotune and you'll like it Cause good times is far from what I had Used to look at Thelma like ""She ain't that bad"" So cop another bag, break a pill in half And eat that motherfucker like a cow do grass Rappers fallin' off. Careers dead and gone, but ""I stay on""  So live everyday like it's your last, dog Cause dog, you never know when it's your time to go So when the block's long, 'member it's a fast life Up under street lights, hook flashing flash lights Sittin' on the porch with a 5th of somethin' Time to pour it up and make it sweeter than before Tomorrow, we'll be sold, but still get it on, my nigga cause ""I stay on""    These niggas fallin' off. We got it for the low Our block stay clickin', nigga. Yours move slow You lookin' like you hurtin'. You smokin' on them clones, my nigga but ""I stay on""   I used to work at spots, make thirty off a hunnit' I was fucked up at the time like ""Run it"" So what, I sold dope. That don't make me who I is Punked out a couple fights. That don't make me no bitch Depths of the D. Straight-up out the cage Danny Brown, motherfucker, out that Bruiser Brigade Nigga on that no-look thunk shit These Dunks don't match this fit, so unorthodox with it If the bitches lookin' at me, cause they know I ain't basic A blonde bitch could see that, no Lasik Paint pictures. No need for the tracin' ""I stay on""  And I be in her walls. One time she almost fainted Lived in a Slum Village, pussy a little tainted So I strapped up before I went up in it I ain't try'na catch nothin', buggin' while I'm up in it  "
iwill," Put a cup up put a four up in it Sixes on that chevy with some hoes in it Put a cup up put a four up in it Sixes on that chevy with some hoes in it What we won't do Bitch I will   Take it off baby bend over let me see it If u looking for a real pussy eater I can be it So quit playing with me girl and bring that over here Won't you climb aboard my face and put that pussy on my beard  I ain't tryna to take u shopping or buy yo ass some shoes I'm just tryna lick that clit while I'm looking up at you No shame in my game, girl, so look back at me I don't give a fuck if it's shave or it's nappy  Long as it ain't nasty sanitation smelling One whiff of that bitch I'm gone be bailing If it's smelling sweet I'll lick it for a hour And even it's sour might lick it in the shower  I go dumb and ignorant when I'm on that clitoris Lick yo ass delirious my tongue game so damn serious So bend that ass over lemme eat it from the back That pussy so good have a nigga coming back     Oh that nigga scared lemme show you what it's bout Spread apart the lips and put that clit up in my mouth And that thang so juicy I'm a call it jamba Licking it in circles got me calling me yo papa Tongue going faster singing La Labamba Trying to keep my rhythm like the bongos in samba I'm a pussy monster blowing on that ganja After I finish look like you was in a sauna Toes curling up while you grabbing on the sheets While I'm spitting on that pussy real sloppy when I eat Slobbing on that pussy when I'm done I do not cuddle I put that dick up on her make her sleep in the puddle Bitch I ain't afraid I eat it up in public Feet on the windshield broad day fuck it 69 in hotels with the lights on Tongue worth a million I don't need ice on Put a cup up put a four in it Sixes on that chevy with some hoes in it Them hoes playing they don't wanna fuck I'm aput they ass out they gone be walking brah And I'm swagged up I'm off a pill Could fuck you for an hour cause I can't feel And I'm swagged up I'm off a pill Could fuck you for an hour cause I can't feel"
radiosong,"This is anti clean rap, nigga where the green at? RZA take your sweat I had the balls the size of bean bags Not what you're used to, bitch I rep the bluza And the label fools gold, jeans with medusas Bitches wanna scoop us, their pussy like loofahs Y'all niggas losers cop clothes from the boosters Hoes wanna choose up of course they gonna choose us  These stupid ass niggas wouldn't know what to do So they copy wack niggas that's what they made you The game's so trendy, that's why these labels fail Cause they don't care about music, just first week sales   So they say you need a hit, a chart toppin' single That's why it's called commercial, because you need a jingle A smash crowd banger, play it all night long You never get on, without a radio song So this my radio song   She wanna ride the wave, watch me do my swag surf Party like a rockstar, never bought a makeup purse Songs with no villains, but she feel my thang on her Stripper with a leaky ceiling, I'm a make it rain on her Taught me how to Dougie, I'd rather see you jerk Skeet skeet, on the walls and her skirt She'd rather hear a love song about what she getting But not from Danny Brown, cause bitch I ain't tricking' Do the pretty girl rock, and even though you ugly Getting dirty money, but bitch I ain't above that Ice cream paint job, send me with the..."
thereturn," See they think I'm a fuck nigga But if they ever see me then they might have to duck, nigga Like what, nigga? Before your ass can answer, get your whole shit bust, nigga Them rolls off them ashes, drinking Fiji water Wanna pull me in that fire when I'm trynna feed my daughter Wanna snatch my mommas plate, and tell her she can't eat And we gone have us some discrepancies right here in this grief Because the weak don't speak, get left in silence And when you don't listen, gotta speak with violence And duct tape the grandmama, strip a man of all his honor Out here tryna be a G, now you wish you a goner I walk with the Gods with the tounges for the devil Tryna keep a nigga thirsty so for rain I pray mercy   The return of the gangsta cause niggas don't believe I roll hotter than my sleeve, leave a nigga in the street The return of the gangster cause niggas got deals This rap shit don't work then it's back to selling krills Return of the gangster cause niggas want that real Want that old Danny Brown but nigga I'm like chill Return of the gangster fucked that hipster squeeze the trigger You got me fucked up I'm a hood ass nigga   Eastside niggas keep roaches in the ash tray Twenty thousand out the public housing on a bad day Dropped it in the chronic finna lock it that's some bad yay Tryna save my soul I wish the lord would meet me half way Devil on my shoulder as I'm whipping up this yola And them motor minnesota Only option is a shoot out if the police pull me over This shit get real as shit that's on your Playstation controller Call of Duty ass nigga Dick in the booty ass nigga Don't po' up"
sidea,"You was raised off welfare, nursing on focused hope Pops left, young age, mom got her shoulder rope Mom can't do that, mom's drunk off dope Cold water bath, tic tac sized soaps Sis' got pregnant, when she was young Out here trickin' making you watch her son Stolen cable BET stay on the screen Never a dull moment, mom fight with other fiends The happiest moment when you sleep and you dream Then you wake up to the same old thing Cereal no milk, dishes in the sink Older brother runnin' 'round, gettin' money, wearing mink Won't buy nothin' to eat, always buy drinks Get the whole house drunk, then shit pop off Momma boyfriend trippin' 'bout a dime got lost Mind is lost, smoke a blunt, try to do (law?) Seem fit to sell drugs, but you just too soft Hard times at school because your peer is off Too many roaches, might see a mouse Extension cords get power from the neighbor's house Got two pair of jeans, dead air, one's Brother old coke square smoke in your lungs The man of the house but your momma youngest son Back to the wall, face to the wind Ma's scratch the last of the number but don't win Sister disappearing always leaving her kids Tired of ramen noodles, you can see your ribs Lot of sugar in the Kool-Aid keep your thirst quenched Cigarettes and weed, make your eyes squint Fridge empty, nothin' in the cabinet but spinach And you ain't Popeye, livin' in a crowded house Space heater keeps you warm, while you sleep on the couch Bridge card every first, keep food in your mouth Unless your mom sell 'em for drugs, and then you know That month, shit gon' be fucked up So you go to school, for the free lunch and stuff But niggas teasing like you some type of punk and stuff So you got kicked out for punching and stuff Headaches at night, and your stomach is growling Crack smoke in the air and the wolves is howling ...eviction notice on the door ...niggas sleepin' on the floor ...you can't take it no more Just listen you can make it out Just look at what's around you take a different route If you don't have a dream, how could it come true? Take a look at me, look what I've been through It's a discription..."
itsadiscription,"Detroit so crazy, feel like Pac Brenda's got a (baby) Because everywhere I turn these girls don't learn Get fucked by a nigga now her baby got a (baby) A nigga be a nigga get locked or get hit up Now you looking at that nigga like, ""homeboy I thought you was gonna help me I'm all by myself, see When you gonna help me take care of this"" (baby) Put you on child support now you got to go to court Now they hit your checks to take care of that (baby) Thought about abortion but she couldn't afford it And you was locked up, fighting them charges Now you on the street, diapers ain't cheap And you slang weed to take care of that (baby) No education, the odds are slim of making it So now you’ll fuck with any nigga that’ll bring the bacon in  Detroit so crazy, feel like Pac Brenda's got a (baby) Everywhere I look, young girl up in them books Virginity took, now she ‘bout to have a (baby) She depends on welfare, to eat and her health care ‘Cause nobody else care, ‘cause 2Pac ain’t there Dropped outta high school, tried to go to night school Got a GED to take care of that (baby) Now she smoke blunts on the block and her feet ain’t never washed Tryin’ a get someone to watch her (baby) Have a baby in your teens, grown nobody want ya Because ain’t nobody tryin’ a be a damn step-father Bitch you a bother, Ho is you crazy Get your ass in the house and watch your (baby) So watch what you do, burns out at twenty-two Any man you meet don’t give a damn about you"
juno,Holy spirit When I look I cannot see Reflection in the mirror Broke bread with the Judas And I think I see it clearer These niggas want what's mine But I be damn if I'm a give up Stuck up in the hood Praying rap would get me out Momma 'bout to lose her house Gotta figure this shit out Use to catch the bus to 12th Just to hustle for some Prada In the kitchen with my uncle Beat the pot like a piñata Baraka wit the product Use to hide it in my closet Type of shit That have a fiend Crawling on his carpet Walking over carcasses Of artists in my garden Nice with the bars Even the beat begs my pardon Got me mistaken Muslim salami bacon Always on the defense So it's no offense taken I'm smoking on them raisins From the bay they taste amazing Cajun kicking flavor All the time Not on occasion Would be amazed All the time I heard I wouldn't make it I was writing shit that was so damn amazing When half these little niggas was still watching That's so raven I was out there hustling Scraping up and saving Just to catch a 12 hour bus to NY Sleeping on the floor in studios Asking God why But never got deterred From the voice I heard inside Tell myself everyday The greatest that's alive  And I'm a give em hell for it Until it's heaven on earth My nigga I'm a give em hell for it For whatever it's worth My nigga I'm a give em hell for it Unless death come first My nigga I'm a give em hell for it For whatever it's worth My nigga I'm a give em hell  Cause we living in that Actavis double cups was addicted to that Had them demons on my back Was escaping through that Blamed everybody but myself Apologies for that So they hold a nigga back For the way that I act People scared of doing business Thinking I smoke crack I react immature To anyone talking smack Cause where I'm from respect The only thing that you have Grew up virtually poor Realities unmasked So my task Is inspire your future with my past I lived through that shit So you don't have to go through it Stepping stones in my life Hot coals Walk with me Listen when I speak Every time talk with me Couple screws loose You don't wanna start With me Got it from Motown Feel David Ruffin pain Wanna cry right now             So I'm wishing that it rain Cause I'm knowing I'm the best They compare skills to sales Tell myself everyday Know this shit ain't real Radio don't make you ill They get a hit a they feel they self Respect for lyricism In this game ain't none left Have a bitch like Iggy Think she sicker than me And that's so fucked up That's just how this shit be I just wanna make music Fuck being a celebrity Cause these songs that I write Leave behind my legacy  And I'm a give em hell for it Until it's heaven on earth My nigga I'm a give em hell for it For whatever it's worth My nigga I'm a give em hell for it Unless death come first My nigga I'm a give em hell for it For whatever it's worth My nigga  I'm a give em hell I'm a give em hell
hellforit," Nine out of ten of these rap niggas is Play-Doh® I say ""go"", niggas'll spray your whip like Mako® Ya got that yayo for the low, you'd swear that Kanye was here The way they say ""where did yay go?"" My flow strong like it's on that 'Sé Canseco I don't eat rappers, I box them up like take-home Get straight dome from a bi bitch I don't know her name, but told her girlfriend to switch And the lyrics coalesce, I rip elaborate Hazardous material that's oh so immaculate Accurate position, when I spit this shit, it's calculus Hard, nigga... And that was bars, nigga... I'm off them Xany footballs, nigga Swisher, I don't buff, kush shuffs 'til I fall, nigga Too high to fuckin' talk... That's why I never call, nigga... Your bitch keep textin' and she want it all, nigga...   Yeah - and I've got two on a brew Let's go cup-for-cup until that ma'fucka through And I've got five on a bag Before you toss that square, can a nigga get a drag? And I used to spend late nights starin' at the ceiling Pitch-black dark, but I had that feelin' Vision of killin' niggas, bein' labelled a villain Because these labels passed, I'mma make these niggas pass   Late night, searchin' websites for victims Fuck doin' features, you niggas competition That's your assistant on the blunt run? Give her stomach blows 'til I puncture her lungs And it's some nigga shit I fuck with in my spare time But they can't fuck with me in my mind Used to be humble, now I'm feelin' cocky 'Cause all these bitches ride it like a fuckin' Kawasaki And these rap niggas see my face in they dreams They worst fuckin' nightmare wearin' fuckin' skinny jeans Wake in cold sweat, my reflection in the mirror Put a curse on a Freshman 10, watch how it end Dropped out of high school at sixteen 'Bout the same time as the Wu dropped ""Ice Cream"" Arguin' with fiends, starin' at the screen Watchin' Rap City like it was all a dream Spent my last three bucks on a Source magazine Hip-Hop Shop where niggas was battlin' But I was writin' shit in my fuckin' Composition Knowin' one day I would have these critics trippin' Sayin' that, niggas, I'mma be the future New take on rap, this ain't what ya used to Push this shit fuckin' forward Focus on the music so the people will support it A load on my shoulder, tell the world I'm meetin' my goals, watch my plans unfurl Check! Yeah...   Yeah - and I've got two on a brew Let's go cup-for-cup until that motherfucker through And I've got five on a bag Before you toss that, nigga, let me get a drag? Used to spend late nights starin' at the ceiling Pitch-black dark, now I had that feelin' Vision of killin' niggas, bein' labelled a villain Because these labels passed, I'mma make these niggas pass"
sweeneysong,"I'm feelin' kinda sick Shorty cause my last flip got hit with some counterfeit Whole damn hundred Must of been desperate Be out here bein' greedy, so the line I didn't check it So I'm sittin' in the spot Countin' on my knot Pistol on the flo' while I'm sittin' on the couch Then I heard a knock I know this bet' not I was so damn excited I forgot to grab the Glock Snatched open the do' Gave my dawg the nod And pieced his ass up while he was reachin' for that do' nob Grabbed his head and kneed him in his chin Put 'em in a headlock, kicked him in the shin Got him on the ground Hands on the throat But guess what the fuck this nigga started reachin' fo'? Lucky for me my nigga peeped him, changed the moment Cause at that very point, shit went in slow motion Picked up the heater Cocked that bitch back Squeezed two times saw a real bright flash ""Tat tat"" Then the fiend started screamin' Ran out the apartment with his right calf leakin' Then we chase after Heater still smokin' Caught him in the alley and let that bitch open ""Tat tat"" He squeezed two mo' at my man And next thing we heard he gettin' picked up in an ambulance Next day Chillin' feelin' proper We just smokin' some Mustafah Hash in it, and we ain't even mention it Around this time playin' 2K1 We were so young and dumb dawg we even kept the gun And if we got caught dawg we would've got hung"
counterfeit," Catch you slippin' with them all white Buffies Take that like Puffy I'll Leave a nigga with some shit stains Leave blood stains all on them wood frames Catch you slippin' with your feet up Nigga, fuck that, even beat your bitch up Catch you walkin' round North Lyn with Ye's on Run up on her, snatch those, now they gone I can get 400 for these wire frames Fresh out the box, no scratches, mayne Real deal dawg, no fake shit Transition lens, nigga take shit Seen a nigga with them old school Mayfairs Caught a two piece, at the state fair Seen a nigga at the Coney with some ice in him Now the doctor tryin' to put some fuckin' life in him That's how it is in the city of the motor Where a nigga doin' what he gotta do to get a quarter Dime, nickle, penny Automatic, semi Catch a nigga with' them Cartiers and I'm like ""gimme"" That's why we four deep in this Regal Bangin' rock bottom, dirty Desert Eagle Finna hit the club, you know what's up You got some Cartiers, you gettin' fucked up   And we goin' in the party And we snatchin' niggas Cartys I say we goin' in the party And we snatchin' niggas Cartys We goin' in the party And we snatchin' niggas Cartys   I seen a pair of woods, twenty two hundred I seen a nigga with' em, I told that nigga run it I leave a nigga dalmatian for them Malmaisons For them rosewoods, roses where you stood And I think them wood frames better on me Sold 'em for six, coulda got a G You think you real, g? That heater on your ass Lose your life over Cartier glasses I'm where you get caved over shades Wood on your caskets, flower on your graves You think them wire frames shinin'? I'll be at the pawn shop before this rhyme end And I'm 'bout to get cake Come to find out that this nigga glasses was fake It's all good, g, it's aight That's why I'm bout to hit the club tonight"
cartier," Ho, the only thing you gotta know My dick touch the ground when I'm sitting on the floor You think I'm gonna fall off? I got advice for ya holmes Fall asleep in your car In your garage with the engine on I'm playing ping pong with your bitch jaw You the type to have a sing-along in Superman drawls I got a red head ho I call her Molly Ringwald She like to take a lot of Molly And bring Adderall Sipping white wine 'til the sunset Before it got dark she already got naked Necked her for a second Then she got reckless Rump shaker, wrecks and FX'd it Bum stickity bum stickity bum Das EFX'ed it Left her bum sticky Fell asleep on the terrace Me on the beat, that's a hate crime With black ink, I murder white lines Baseline   What's with all the ho shit? Your flow's atrocious The amount of weed I smoke is copious Eyes red like Soviet Dog, you're on some bogus shit These novice poets are not my associates Ferocious; but the flows inappropriate But if you approach this they might call encroachment I'm so bent, oh shit Got your bitch soakin' I ain't Clarence Carter But bitch I be Strokin' Ho, are you outta your mind? I tell a bitch like this ""You are not that fine"" I don't give a bitch shit No, not a dime But bitch, for you I ain't even got time The sunshine in the thunder storm Catching clouds smelling like the green giant underarm I can never cop her holmes I just give her Sutter Homes Nut all on her butt Wipe it up, then I send her home Baseline"
baseline," Kush got a nigga feeling awesome Ate that bitch pussy 'til she squirted like a dolphin Told her bend over, hit that shit doggy Called her a cab then I told that bitch to call me Danny Brown bitch, tell me what you need I got some Adderall and fire ass weed And they try to tell me I get too high That's a lie if so bitch I woulda been died But the flow OD, don't get cochesed, capiche? Fuck with me, fuck around and be deceased Rest in peace wack niggas with your oversized clothes Complain about my jeans cause I'm taking all they hoes Hold up, wait a minute Your pussy ain't shit 'til you had some Danny in it I'm gone off a Zanny nodding off watching menace Rolling on some purple that my nigga call Grimmace Bitch I ain't finish These bars was test tubed in the lab with foreign chemist Rolling testers on it but statistics got slumped I'm smoking blunt after blunt   And I smoke Blunt after blunt, after blunt, after blunt, after blunt, after blunt   'til my brain feels ten pounds heavier You fell off like Tom Selleck in a Celica Bitch give me brain for the hell of it But to her it's heaven if she even gets a smell of it That's why these bitches fuck with me Cause I eat that pussy like a female MC You get it? How about me and your girlfriend, you with it? Money over everything the only thing that matter And since I been getting it my been blunts getting fatter Take a couple puffs off it now a nigga woozy The white hoes I fuck with consider them whooties We 'bout to make a movie, starring me and a cast full of groupies And I do my own stunts, I'm smoking blunt after blunt  "
bluntafterblunt,"It's Detroit Stand Up!  I'm in the truck sitting high like proper etiquette Iller than I ever been Blowing on that medicine Used to have dreams of copping cribs on Edison  Now I'm doing shit thought I never could afford Art on the wall like science project boards Parquet floor Green like Celtic Furniture you touch be like what's this velvet? Used to play the block with the sack by the pelvis Fiends O.D.ing on they toilet like Elvis (eww)  So now I kill beats So much coroners pick up notepad sheets Bullhead skinnies Hilfiger fleece Sort of like a futuristic 1993 A lot my niggas dead A lot my niggas locked A lot my niggas left and moved on from the block Some of my niggas here And some got guap And some may gotta piss in a motherfucking pot We used to play the block We never get old The fridge ain't got shit but the bread with the mold And some ain't got shoes just the ones with the holes The one you call talkers with the fucking plastic soles So now we change the system To shit we can't afford and Check from Mickey D's can't buy a pair of Jordans And hotboys gotta get it how they live   Close your eyes I'm bout to take you to a city, it ain't pretty, it ain't nowhere to go Run and hide when you on the other side it ain't easy it ain't nowhere to go Land of misery a place full of history but seriously it's nowhere to go  I seen my nigga Luck before he went up for life He said Brown you nice and nigga send your sacrifice Chill on the streets it ain't here for ya Cause when you get locked don't nobody care for ya Did a little time ain't make a phone call Book stay thick like a church going broad Locked in the county ain't never seen a thorough Now I hit the thrift stores cop a vicious polo Never talk loud to get my point across The only alligator that I rock is LaCoste Detroit player word to my nigga B.I.G Play this type of shit while you rockin up for B.I.G Cause I blow 2 blunts before I brush my teeth Ain't seen what they looking like but I'm smoking good Eating Better So I stay full J stay paid Brown do too  "
nowhere2go,"Tell me why my dimes look pregnant That niggas know my connect Mexican Hoes with light completion little to no melanin Smoking on the purple the herbal is so elegant (In-ta-legend?) bitches from college that study medicine Drop it in they face like visine medicine In your hood liquor store cop a slice of pizza Skinnys on playing with the rockets like Ariza Nigga don't confuse it think it's just music Niggas think Hip Hop is book-bags and chew-sticks Things out front (beckbachains?) for our rows Ain't talking about flowers let them hold a couple dollars It's like it's Catch Phrase, roll a sack of haze Fuck tomorrow dog we ain't promised today So tell me what's the reason these niggas eating I feel like the whole damn industry teasing These niggas eatin? I feel like the industry teasing   (Nana)  I used to cop a nick bag & pull 2 out it Man these rap jury niggas ain't looking to cloudy Sitting in the Audi LA at the do over Throwing up the middle finger yelling ""Fuck Oprah"" You in the hood nigga, trying to get your buzz up I'm at the Standard nigga 2 bitches with they tops up And watch em treat each other like the buffet While you doing calling orders at the Cony Hoes say the dick so huge that you can package pre-orders up through the roof So keep sleeping on me I'm a wake up with your bitch Rolling over asking her, ""Know how to make grits? "" Nigga I'm the shit, so homie don't piss me Eat pussy so good none of my hoes kiss me Lick ya bitch or I'm a be eating The next time you call that ho a be teasing like   (Nana)"
track03," Bitch, I'm way up here Can't hear what you're saying Gone with all that hating So it's fuck you pay me    Bitch, I'm way up here You a tattoo to a statue Run a mic like Michelangelo draw, too While I turn this bitch into Saw II Bitch, I'm way up here And you down there on that totem pole I'm on the road and I'll fuck your girl And I'll put this dick up in a whirl Bitch, I'm way up here And you down there like a little nigga I'll buy you up on that rent card You still around here? You better thank God Bitch, I'm way up here I ain't worry about what's down there I'll take a step, look on my shoe and you'll be splattered everywhere Bitch, I'm way up here Can't hear what none of y'all talking about I'm on top of a mountain and you just started climbing rocks     Bitch, I’m way up here Don’t care what down there doing ‘cause up here, up here, down there, down there And you don’t moving how I’m movin’     Bitch, I'm way up here Come on girls, you down? You with it? I'm with it Go on ahead, go down, uh Bitch, I'm way up here Puffing pot on a mountain top Dipping in that bag White girl on my countertop (Soulo) Bitch, I'm way up here Drop it like it's hot, ho I ain't move no birds, but She in love with my cock, though Bitch, I'm way up here Looking down on you little niggas Got a 16 with a seal on it Shot glass with a pill in it (Soulo) Bitch, I'm way up here Y'all all under my telescope So much that I'm squintin' You ain't snitchin', but you can tell 'em though Bitch, I'm way up here Hah, can't hear what you saying Smoking on that strong, strong, like a super saiyan, saiyan Bitch, I'm way up here HiiiPower, Top Dawgs, all dogs, go to heaven, not y'all"
